Version,Operation,Mode,Pinned,Peak (GiB/s),Median (GiB/s)
v0_baseline,D2D,Sync,Yes,183.17,1.30
v0_baseline,D2D,Sync,No,175.33,2.36
v0_baseline,D2D,Batch,Yes,208.55,24.86
v0_baseline,D2D,Batch,No,208.56,24.90
v0_baseline,H2D,Sync,Yes,10.23,2.72
v0_baseline,H2D,Sync,No,7.35,1.92
v0_baseline,H2D,Batch,Yes,10.28,7.58
v0_baseline,H2D,Batch,No,10.26,7.45
v0_baseline,D2H,Sync,Yes,11.04,2.84
v0_baseline,D2H,Sync,No,7.78,1.91
v0_baseline,D2H,Batch,Yes,11.10,8.66
v0_baseline,D2H,Batch,No,11.05,8.50
v1_event_pooling,D2D,Sync,Yes,176.64,1.34
v1_event_pooling,D2D,Sync,No,172.02,2.36
v1_event_pooling,D2D,Batch,Yes,208.53,24.84
v1_event_pooling,D2D,Batch,No,208.55,24.89
v1_event_pooling,H2D,Sync,Yes,10.23,2.71
v1_event_pooling,H2D,Sync,No,7.34,1.88
v1_event_pooling,H2D,Batch,Yes,10.28,7.59
v1_event_pooling,H2D,Batch,No,10.26,7.43
v1_event_pooling,D2H,Sync,Yes,11.04,2.83
v1_event_pooling,D2H,Sync,No,7.74,1.85
v1_event_pooling,D2H,Batch,Yes,11.10,8.66
v1_event_pooling,D2H,Batch,No,11.06,8.38
v2_immediate_pool,D2D,Sync,Yes,180.63,1.28
v2_immediate_pool,D2D,Sync,No,189.14,2.94
v2_immediate_pool,D2D,Batch,Yes,208.58,24.84
v2_immediate_pool,D2D,Batch,No,208.00,24.93
v2_immediate_pool,H2D,Sync,Yes,10.23,2.73
v2_immediate_pool,H2D,Sync,No,7.83,1.93
v2_immediate_pool,H2D,Batch,Yes,10.28,7.58
v2_immediate_pool,H2D,Batch,No,10.25,7.45
v2_immediate_pool,D2H,Sync,Yes,11.04,2.84
v2_immediate_pool,D2H,Sync,No,8.25,1.94
v2_immediate_pool,D2H,Batch,Yes,11.09,8.66
v2_immediate_pool,D2H,Batch,No,11.06,8.50
v3_batch_fence,D2D,Sync,Yes,177.57,1.36
v3_batch_fence,D2D,Sync,No,188.48,2.94
v3_batch_fence,D2D,Batch,Yes,208.58,24.88
v3_batch_fence,D2D,Batch,No,208.55,24.91
v3_batch_fence,H2D,Sync,Yes,10.23,2.72
v3_batch_fence,H2D,Sync,No,7.34,1.89
v3_batch_fence,H2D,Batch,Yes,10.28,7.58
v3_batch_fence,H2D,Batch,No,10.26,7.45
v3_batch_fence,D2H,Sync,Yes,11.04,2.84
v3_batch_fence,D2H,Sync,No,7.77,1.88
v3_batch_fence,D2H,Batch,Yes,11.09,8.66
v3_batch_fence,D2H,Batch,No,11.07,8.50
v4_micro_optimized,D2D,Sync,Yes,188.39,1.28
v4_micro_optimized,D2D,Sync,No,176.59,2.36
v4_micro_optimized,D2D,Batch,Yes,208.53,24.80
v4_micro_optimized,D2D,Batch,No,208.56,24.91
v4_micro_optimized,H2D,Sync,Yes,10.23,2.72
v4_micro_optimized,H2D,Sync,No,7.28,1.87
v4_micro_optimized,H2D,Batch,Yes,10.28,7.58
v4_micro_optimized,H2D,Batch,No,10.26,7.45
v4_micro_optimized,D2H,Sync,Yes,11.04,2.84
v4_micro_optimized,D2H,Sync,No,7.57,1.85
v4_micro_optimized,D2H,Batch,Yes,11.10,8.65
v4_micro_optimized,D2H,Batch,No,11.06,8.38
v5_No_Sync,D2D,Sync,Yes,180.41,1.46
v5_No_Sync,D2D,Sync,No,176.93,2.36
v5_No_Sync,D2D,Batch,Yes,208.50,24.85
v5_No_Sync,D2D,Batch,No,208.47,24.92
v5_No_Sync,H2D,Sync,Yes,10.23,2.73
v5_No_Sync,H2D,Sync,No,7.34,1.85
v5_No_Sync,H2D,Batch,Yes,10.28,7.57
v5_No_Sync,H2D,Batch,No,10.25,7.44
v5_No_Sync,D2H,Sync,Yes,11.04,2.84
v5_No_Sync,D2H,Sync,No,7.75,1.85
v5_No_Sync,D2H,Batch,Yes,11.10,8.66
v5_No_Sync,D2H,Batch,No,11.06,8.50
v6_corrected_exact_fixes_async,D2D,Sync,Yes,188.63,2.41
v6_corrected_exact_fixes_async,D2D,Sync,No,171.45,2.36
v6_corrected_exact_fixes_async,D2D,Batch,Yes,208.53,24.85
v6_corrected_exact_fixes_async,D2D,Batch,No,208.56,24.90
v6_corrected_exact_fixes_async,H2D,Sync,Yes,10.23,2.72
v6_corrected_exact_fixes_async,H2D,Sync,No,7.34,1.85
v6_corrected_exact_fixes_async,H2D,Batch,Yes,10.28,7.59
v6_corrected_exact_fixes_async,H2D,Batch,No,10.25,7.45
v6_corrected_exact_fixes_async,D2H,Sync,Yes,11.04,2.83
v6_corrected_exact_fixes_async,D2H,Sync,No,7.69,1.86
v6_corrected_exact_fixes_async,D2H,Batch,Yes,11.10,8.67
v6_corrected_exact_fixes_async,D2H,Batch,No,11.06,8.50
v7_async_fence_optimized,D2D,Sync,Yes,188.77,2.17
v7_async_fence_optimized,D2D,Sync,No,189.46,2.94
v7_async_fence_optimized,D2D,Batch,Yes,208.51,22.98
v7_async_fence_optimized,D2D,Batch,No,208.22,24.90
v7_async_fence_optimized,H2D,Sync,Yes,10.20,2.72
v7_async_fence_optimized,H2D,Sync,No,7.83,1.95
v7_async_fence_optimized,H2D,Batch,Yes,10.26,7.54
v7_async_fence_optimized,H2D,Batch,No,10.27,7.45
v7_async_fence_optimized,D2H,Sync,Yes,11.04,2.83
v7_async_fence_optimized,D2H,Sync,No,8.27,1.95
v7_async_fence_optimized,D2H,Batch,Yes,11.09,8.65
v7_async_fence_optimized,D2H,Batch,No,11.07,8.50
v8_aggressive_batch,D2D,Sync,Yes,179.72,1.36
v8_aggressive_batch,D2D,Sync,No,164.55,2.45
v8_aggressive_batch,D2D,Batch,Yes,208.54,24.99
v8_aggressive_batch,D2D,Batch,No,208.47,24.91
v8_aggressive_batch,H2D,Sync,Yes,10.23,2.72
v8_aggressive_batch,H2D,Sync,No,7.81,1.93
v8_aggressive_batch,H2D,Batch,Yes,10.27,7.58
v8_aggressive_batch,H2D,Batch,No,10.26,7.44
v8_aggressive_batch,D2H,Sync,Yes,11.04,2.84
v8_aggressive_batch,D2H,Sync,No,8.26,1.91
v8_aggressive_batch,D2H,Batch,Yes,11.09,8.67
v8_aggressive_batch,D2H,Batch,No,11.07,8.49
v9_adaptive_coalescing_async,D2D,Sync,Yes,178.23,1.34
v9_adaptive_coalescing_async,D2D,Sync,No,189.21,2.51
v9_adaptive_coalescing_async,D2D,Batch,Yes,208.56,24.89
v9_adaptive_coalescing_async,D2D,Batch,No,208.48,24.92
v9_adaptive_coalescing_async,H2D,Sync,Yes,10.22,2.73
v9_adaptive_coalescing_async,H2D,Sync,No,7.37,1.86
v9_adaptive_coalescing_async,H2D,Batch,Yes,10.28,7.59
v9_adaptive_coalescing_async,H2D,Batch,No,10.26,7.45
v9_adaptive_coalescing_async,D2H,Sync,Yes,11.04,2.84
v9_adaptive_coalescing_async,D2H,Sync,No,7.75,1.86
v9_adaptive_coalescing_async,D2H,Batch,Yes,11.09,8.66
v9_adaptive_coalescing_async,D2H,Batch,No,11.07,8.50
v10_host_sync_optimized,D2D,Sync,Yes,177.09,1.31
v10_host_sync_optimized,D2D,Sync,No,188.83,2.36
v10_host_sync_optimized,D2D,Batch,Yes,208.54,22.34
v10_host_sync_optimized,D2D,Batch,No,208.48,24.88
v10_host_sync_optimized,H2D,Sync,Yes,10.23,2.73
v10_host_sync_optimized,H2D,Sync,No,7.84,1.87
v10_host_sync_optimized,H2D,Batch,Yes,10.28,7.46
v10_host_sync_optimized,H2D,Batch,No,10.27,7.46
v10_host_sync_optimized,D2H,Sync,Yes,11.04,2.84
v10_host_sync_optimized,D2H,Sync,No,8.29,1.86
v10_host_sync_optimized,D2H,Batch,Yes,11.10,8.65
v10_host_sync_optimized,D2H,Batch,No,11.06,8.50
v11_true_async,D2D,Sync,Yes,179.28,1.57
v11_true_async,D2D,Sync,No,188.54,2.94
v11_true_async,D2D,Batch,Yes,208.52,24.83
v11_true_async,D2D,Batch,No,208.58,24.92
v11_true_async,H2D,Sync,Yes,10.23,2.71
v11_true_async,H2D,Sync,No,7.81,1.95
v11_true_async,H2D,Batch,Yes,10.26,7.59
v11_true_async,H2D,Batch,No,10.26,7.45
v11_true_async,D2H,Sync,Yes,11.04,2.83
v11_true_async,D2H,Sync,No,8.25,1.94
v11_true_async,D2H,Batch,Yes,11.09,8.66
v11_true_async,D2H,Batch,No,11.06,8.50
