Version,Operation,Mode,Pinned,Peak (GiB/s),Median (GiB/s)
v0_baseline,D2D,Sync,Yes,177.69,2.41
v0_baseline,D2D,Sync,No,189.09,6.01
v0_baseline,D2D,Batch,Yes,208.40,41.18
v0_baseline,D2D,Batch,No,208.57,41.26
v0_baseline,H2D,Sync,Yes,10.23,4.14
v0_baseline,H2D,Sync,No,7.82,1.93
v0_baseline,H2D,Batch,Yes,10.28,8.22
v0_baseline,H2D,Batch,No,10.24,8.02
v0_baseline,D2H,Sync,Yes,11.04,4.38
v0_baseline,D2H,Sync,No,8.25,1.96
v0_baseline,D2H,Batch,Yes,11.10,9.52
v0_baseline,D2H,Batch,No,11.06,9.30
v1_event_pooling,D2D,Sync,Yes,175.21,2.38
v1_event_pooling,D2D,Sync,No,182.08,3.52
v1_event_pooling,D2D,Batch,Yes,208.49,41.39
v1_event_pooling,D2D,Batch,No,208.52,41.50
v1_event_pooling,H2D,Sync,Yes,10.23,4.15
v1_event_pooling,H2D,Sync,No,7.20,1.94
v1_event_pooling,H2D,Batch,Yes,10.26,8.23
v1_event_pooling,H2D,Batch,No,10.26,8.03
v1_event_pooling,D2H,Sync,Yes,11.04,4.38
v1_event_pooling,D2H,Sync,No,7.50,2.00
v1_event_pooling,D2H,Batch,Yes,11.09,9.52
v1_event_pooling,D2H,Batch,No,11.05,9.30
v2_immediate_pool,D2D,Sync,Yes,178.85,2.22
v2_immediate_pool,D2D,Sync,No,188.73,7.09
v2_immediate_pool,D2D,Batch,Yes,208.51,41.20
v2_immediate_pool,D2D,Batch,No,208.59,41.45
v2_immediate_pool,H2D,Sync,Yes,10.23,4.12
v2_immediate_pool,H2D,Sync,No,7.39,2.14
v2_immediate_pool,H2D,Batch,Yes,10.27,8.23
v2_immediate_pool,H2D,Batch,No,10.26,8.11
v2_immediate_pool,D2H,Sync,Yes,11.04,4.34
v2_immediate_pool,D2H,Sync,No,7.76,2.18
v2_immediate_pool,D2H,Batch,Yes,11.09,9.52
v2_immediate_pool,D2H,Batch,No,11.05,9.31
v3_batch_fence,D2D,Sync,Yes,175.95,2.03
v3_batch_fence,D2D,Sync,No,188.84,3.73
v3_batch_fence,D2D,Batch,Yes,208.50,41.33
v3_batch_fence,D2D,Batch,No,208.59,41.50
v3_batch_fence,H2D,Sync,Yes,10.23,4.13
v3_batch_fence,H2D,Sync,No,7.18,1.93
v3_batch_fence,H2D,Batch,Yes,10.26,8.21
v3_batch_fence,H2D,Batch,No,10.26,8.02
v3_batch_fence,D2H,Sync,Yes,11.04,4.37
v3_batch_fence,D2H,Sync,No,7.60,1.97
v3_batch_fence,D2H,Batch,Yes,11.10,9.52
v3_batch_fence,D2H,Batch,No,11.05,9.30
v4_micro_optimized,D2D,Sync,Yes,188.86,6.79
v4_micro_optimized,D2D,Sync,No,174.50,3.32
v4_micro_optimized,D2D,Batch,Yes,208.55,41.20
v4_micro_optimized,D2D,Batch,No,208.58,41.41
v4_micro_optimized,H2D,Sync,Yes,10.23,4.15
v4_micro_optimized,H2D,Sync,No,7.36,1.94
v4_micro_optimized,H2D,Batch,Yes,10.27,8.22
v4_micro_optimized,H2D,Batch,No,10.24,8.03
v4_micro_optimized,D2H,Sync,Yes,11.04,4.39
v4_micro_optimized,D2H,Sync,No,7.76,1.96
v4_micro_optimized,D2H,Batch,Yes,11.09,9.51
v4_micro_optimized,D2H,Batch,No,11.05,9.30
v5_No_Sync,D2D,Sync,Yes,188.89,6.41
v5_No_Sync,D2D,Sync,No,179.69,4.18
v5_No_Sync,D2D,Batch,Yes,208.51,41.41
v5_No_Sync,D2D,Batch,No,208.53,41.48
v5_No_Sync,H2D,Sync,Yes,10.23,4.14
v5_No_Sync,H2D,Sync,No,7.32,1.89
