Version,Operation,Mode,Pinned,Peak (GiB/s),Median (GiB/s)
v0_baseline,D2D,Sync,Yes,181.34,2.28
v0_baseline,D2D,Sync,No,189.44,6.19
v0_baseline,D2D,Batch,Yes,208.54,41.24
v0_baseline,D2D,Batch,No,208.60,41.46
v0_baseline,H2D,Sync,Yes,10.23,4.12
v0_baseline,H2D,Sync,No,7.35,1.91
v0_baseline,H2D,Batch,Yes,10.27,8.22
v0_baseline,H2D,Batch,No,10.26,8.10
v0_baseline,D2H,Sync,Yes,11.04,4.36
v0_baseline,D2H,Sync,No,7.77,1.97
v0_baseline,D2H,Batch,Yes,11.09,9.50
v0_baseline,D2H,Batch,No,11.06,9.27
v1_event_pooling,D2D,Sync,Yes,188.57,6.00
v1_event_pooling,D2D,Sync,No,167.08,3.13
v1_event_pooling,D2D,Batch,Yes,208.52,41.19
v1_event_pooling,D2D,Batch,No,208.23,41.48
v1_event_pooling,H2D,Sync,Yes,10.23,4.12
v1_event_pooling,H2D,Sync,No,7.35,1.94
v1_event_pooling,H2D,Batch,Yes,10.27,8.22
v1_event_pooling,H2D,Batch,No,10.24,8.02
v1_event_pooling,D2H,Sync,Yes,11.04,4.36
v1_event_pooling,D2H,Sync,No,7.66,2.01
v1_event_pooling,D2H,Batch,Yes,11.10,9.52
v1_event_pooling,D2H,Batch,No,11.06,9.27
v2_immediate_pool,D2D,Sync,Yes,188.12,4.37
v2_immediate_pool,D2D,Sync,No,189.19,7.13
v2_immediate_pool,D2D,Batch,Yes,208.52,41.32
v2_immediate_pool,D2D,Batch,No,208.56,41.55
v2_immediate_pool,H2D,Sync,Yes,10.23,4.13
v2_immediate_pool,H2D,Sync,No,7.81,2.09
v2_immediate_pool,H2D,Batch,Yes,10.26,8.23
v2_immediate_pool,H2D,Batch,No,10.26,8.03
v2_immediate_pool,D2H,Sync,Yes,11.04,4.37
v2_immediate_pool,D2H,Sync,No,8.25,2.21
v2_immediate_pool,D2H,Batch,Yes,11.10,9.49
v2_immediate_pool,D2H,Batch,No,11.06,9.26
v3_batch_fence,D2D,Sync,Yes,180.07,1.61
v3_batch_fence,D2D,Sync,No,189.41,6.66
v3_batch_fence,D2D,Batch,Yes,208.56,41.15
v3_batch_fence,D2D,Batch,No,208.47,41.51
v3_batch_fence,H2D,Sync,Yes,10.23,4.13
v3_batch_fence,H2D,Sync,No,7.34,2.15
v3_batch_fence,H2D,Batch,Yes,10.26,8.23
v3_batch_fence,H2D,Batch,No,10.27,8.11
v3_batch_fence,D2H,Sync,Yes,11.04,4.37
v3_batch_fence,D2H,Sync,No,7.73,2.19
v3_batch_fence,D2H,Batch,Yes,11.10,9.52
v3_batch_fence,D2H,Batch,No,11.06,9.30
v4_micro_optimized,D2D,Sync,Yes,189.33,5.96
v4_micro_optimized,D2D,Sync,No,180.46,4.48
v4_micro_optimized,D2D,Batch,Yes,208.51,41.14
v4_micro_optimized,D2D,Batch,No,208.59,41.50
v4_micro_optimized,H2D,Sync,Yes,10.23,4.13
v4_micro_optimized,H2D,Sync,No,7.35,1.91
v4_micro_optimized,H2D,Batch,Yes,10.26,8.22
v4_micro_optimized,H2D,Batch,No,10.27,8.11
v4_micro_optimized,D2H,Sync,Yes,11.04,4.37
v4_micro_optimized,D2H,Sync,No,7.76,1.94
v4_micro_optimized,D2H,Batch,Yes,11.09,9.52
v4_micro_optimized,D2H,Batch,No,11.06,9.31
v5_No_Sync,D2D,Sync,Yes,189.13,6.35
v5_No_Sync,D2D,Sync,No,188.97,6.99
v5_No_Sync,D2D,Batch,Yes,208.51,41.27
v5_No_Sync,D2D,Batch,No,208.46,41.45
v5_No_Sync,H2D,Sync,Yes,10.23,4.12
v5_No_Sync,H2D,Sync,No,7.82,2.13
v5_No_Sync,H2D,Batch,Yes,10.27,8.22
v5_No_Sync,H2D,Batch,No,10.27,8.01
v5_No_Sync,D2H,Sync,Yes,11.04,4.37
v5_No_Sync,D2H,Sync,No,8.27,2.20
v5_No_Sync,D2H,Batch,Yes,11.09,9.51
v5_No_Sync,D2H,Batch,No,11.07,9.30
v6_corrected_exact_fixes_async,D2D,Sync,Yes,176.48,1.54
v6_corrected_exact_fixes_async,D2D,Sync,No,188.87,6.90
v6_corrected_exact_fixes_async,D2D,Batch,Yes,208.54,41.38
v6_corrected_exact_fixes_async,D2D,Batch,No,208.12,41.49
v6_corrected_exact_fixes_async,H2D,Sync,Yes,10.23,4.14
v6_corrected_exact_fixes_async,H2D,Sync,No,7.34,1.94
v6_corrected_exact_fixes_async,H2D,Batch,Yes,10.26,8.22
v6_corrected_exact_fixes_async,H2D,Batch,No,10.26,8.10
v6_corrected_exact_fixes_async,D2H,Sync,Yes,11.04,4.39
v6_corrected_exact_fixes_async,D2H,Sync,No,7.70,1.97
v6_corrected_exact_fixes_async,D2H,Batch,Yes,11.09,9.52
v6_corrected_exact_fixes_async,D2H,Batch,No,11.06,9.28
v7_async_fence_optimized,D2D,Sync,Yes,179.73,1.64
v7_async_fence_optimized,D2D,Sync,No,188.76,6.63
v7_async_fence_optimized,D2D,Batch,Yes,208.54,41.40
v7_async_fence_optimized,D2D,Batch,No,208.56,41.53
v7_async_fence_optimized,H2D,Sync,Yes,10.20,4.14
v7_async_fence_optimized,H2D,Sync,No,7.81,1.93
v7_async_fence_optimized,H2D,Batch,Yes,10.26,8.23
v7_async_fence_optimized,H2D,Batch,No,10.27,8.02
v7_async_fence_optimized,D2H,Sync,Yes,11.04,4.39
v7_async_fence_optimized,D2H,Sync,No,8.27,1.97
v7_async_fence_optimized,D2H,Batch,Yes,11.09,9.53
v7_async_fence_optimized,D2H,Batch,No,11.07,9.31
v8_aggressive_batch,D2D,Sync,Yes,173.26,2.02
v8_aggressive_batch,D2D,Sync,No,188.74,7.02
v8_aggressive_batch,D2D,Batch,Yes,208.54,41.33
v8_aggressive_batch,D2D,Batch,No,208.52,41.50
v8_aggressive_batch,H2D,Sync,Yes,10.23,4.14
v8_aggressive_batch,H2D,Sync,No,7.81,2.14
v8_aggressive_batch,H2D,Batch,Yes,10.26,8.23
v8_aggressive_batch,H2D,Batch,No,10.26,8.03
v8_aggressive_batch,D2H,Sync,Yes,11.04,4.38
v8_aggressive_batch,D2H,Sync,No,8.26,2.20
v8_aggressive_batch,D2H,Batch,Yes,11.09,9.52
v8_aggressive_batch,D2H,Batch,No,11.06,9.30
v9_adaptive_coalescing_async,D2D,Sync,Yes,189.38,6.61
v9_adaptive_coalescing_async,D2D,Sync,No,188.77,6.65
v9_adaptive_coalescing_async,D2D,Batch,Yes,208.58,41.08
v9_adaptive_coalescing_async,D2D,Batch,No,208.56,41.45
v9_adaptive_coalescing_async,H2D,Sync,Yes,10.23,4.13
v9_adaptive_coalescing_async,H2D,Sync,No,7.33,1.92
v9_adaptive_coalescing_async,H2D,Batch,Yes,10.27,8.21
v9_adaptive_coalescing_async,H2D,Batch,No,10.26,8.10
v9_adaptive_coalescing_async,D2H,Sync,Yes,11.04,4.37
v9_adaptive_coalescing_async,D2H,Sync,No,7.77,2.00
v9_adaptive_coalescing_async,D2H,Batch,Yes,11.10,9.52
v9_adaptive_coalescing_async,D2H,Batch,No,11.06,9.31
v10_host_sync_optimized,D2D,Sync,Yes,189.26,6.38
v10_host_sync_optimized,D2D,Sync,No,189.25,7.03
v10_host_sync_optimized,D2D,Batch,Yes,208.52,41.20
v10_host_sync_optimized,D2D,Batch,No,208.61,41.42
v10_host_sync_optimized,H2D,Sync,Yes,10.22,4.12
v10_host_sync_optimized,H2D,Sync,No,7.35,2.21
v10_host_sync_optimized,H2D,Batch,Yes,10.28,8.21
v10_host_sync_optimized,H2D,Batch,No,10.26,8.04
v10_host_sync_optimized,D2H,Sync,Yes,11.04,4.36
v10_host_sync_optimized,D2H,Sync,No,7.77,2.20
v10_host_sync_optimized,D2H,Batch,Yes,11.10,9.52
v10_host_sync_optimized,D2H,Batch,No,11.05,9.29
v11_true_async,D2D,Sync,Yes,173.72,2.10
v11_true_async,D2D,Sync,No,188.56,4.46
v11_true_async,D2D,Batch,Yes,208.52,41.16
v11_true_async,D2D,Batch,No,208.50,41.49
v11_true_async,H2D,Sync,Yes,10.22,4.13
v11_true_async,H2D,Sync,No,7.82,2.18
v11_true_async,H2D,Batch,Yes,10.28,8.20
v11_true_async,H2D,Batch,No,10.27,8.10
v11_true_async,D2H,Sync,Yes,11.04,4.36
v11_true_async,D2H,Sync,No,8.25,2.20
v11_true_async,D2H,Batch,Yes,11.09,9.50
v11_true_async,D2H,Batch,No,11.06,9.30
