Version,Operation,Mode,Pinned,Peak (GiB/s),Median (GiB/s)
v0_baseline,D2D,Sync,Yes,189.10,6.67
v0_baseline,D2D,Sync,No,189.09,7.21
v0_baseline,D2D,Batch,Yes,208.42,41.26
v0_baseline,D2D,Batch,No,208.33,41.50
v0_baseline,H2D,Sync,Yes,10.23,4.12
v0_baseline,H2D,Sync,No,7.33,1.95
v0_baseline,H2D,Batch,Yes,10.27,8.21
v0_baseline,H2D,Batch,No,10.27,8.11
v0_baseline,D2H,Sync,Yes,10.53,4.28
v0_baseline,D2H,Sync,No,7.42,2.00
v0_baseline,D2H,Batch,Yes,10.59,9.15
v0_baseline,D2H,Batch,No,10.55,8.96
v1_event_pooling,D2D,Sync,Yes,175.64,2.30
v1_event_pooling,D2D,Sync,No,176.25,4.24
v1_event_pooling,D2D,Batch,Yes,208.32,41.21
v1_event_pooling,D2D,Batch,No,208.36,41.54
v1_event_pooling,H2D,Sync,Yes,10.22,4.11
v1_event_pooling,H2D,Sync,No,7.84,1.89
v1_event_pooling,H2D,Batch,Yes,10.28,8.21
v1_event_pooling,H2D,Batch,No,10.26,8.02
v1_event_pooling,D2H,Sync,Yes,10.53,4.27
v1_event_pooling,D2H,Sync,No,7.98,1.97
v1_event_pooling,D2H,Batch,Yes,10.59,9.15
v1_event_pooling,D2H,Batch,No,10.56,8.96
v2_immediate_pool,D2D,Sync,Yes,188.37,6.33
v2_immediate_pool,D2D,Sync,No,188.26,2.75
v2_immediate_pool,D2D,Batch,Yes,208.34,41.11
v2_immediate_pool,D2D,Batch,No,208.30,41.49
v2_immediate_pool,H2D,Sync,Yes,10.22,4.11
v2_immediate_pool,H2D,Sync,No,7.83,1.93
v2_immediate_pool,H2D,Batch,Yes,10.26,8.23
v2_immediate_pool,H2D,Batch,No,10.26,8.01
v2_immediate_pool,D2H,Sync,Yes,10.53,4.28
v2_immediate_pool,D2H,Sync,No,7.96,2.01
v2_immediate_pool,D2H,Batch,Yes,10.59,9.15
v2_immediate_pool,D2H,Batch,No,10.55,8.95
v3_batch_fence,D2D,Sync,Yes,188.95,6.55
v3_batch_fence,D2D,Sync,No,188.86,6.88
v3_batch_fence,D2D,Batch,Yes,208.41,41.27
v3_batch_fence,D2D,Batch,No,207.99,41.39
v3_batch_fence,H2D,Sync,Yes,10.22,4.14
v3_batch_fence,H2D,Sync,No,7.33,2.15
v3_batch_fence,H2D,Batch,Yes,10.27,8.20
v3_batch_fence,H2D,Batch,No,10.25,8.08
v3_batch_fence,D2H,Sync,Yes,10.53,4.30
v3_batch_fence,D2H,Sync,No,7.45,2.21
v3_batch_fence,D2H,Batch,Yes,10.59,9.09
v3_batch_fence,D2H,Batch,No,10.55,8.79
v4_micro_optimized,D2D,Sync,Yes,188.48,5.92
v4_micro_optimized,D2D,Sync,No,189.25,6.24
v4_micro_optimized,D2D,Batch,Yes,208.41,41.30
v4_micro_optimized,D2D,Batch,No,208.41,41.55
v4_micro_optimized,H2D,Sync,Yes,10.22,4.13
v4_micro_optimized,H2D,Sync,No,7.36,2.15
v4_micro_optimized,H2D,Batch,Yes,10.27,8.22
v4_micro_optimized,H2D,Batch,No,10.26,8.04
v4_micro_optimized,D2H,Sync,Yes,10.53,4.29
v4_micro_optimized,D2H,Sync,No,7.46,2.12
v4_micro_optimized,D2H,Batch,Yes,10.59,9.15
v4_micro_optimized,D2H,Batch,No,10.55,8.95
v5_No_Sync,D2D,Sync,Yes,189.28,6.37
v5_No_Sync,D2D,Sync,No,175.62,2.49
v5_No_Sync,D2D,Batch,Yes,208.39,41.18
v5_No_Sync,D2D,Batch,No,208.41,41.56
v5_No_Sync,H2D,Sync,Yes,10.23,4.14
v5_No_Sync,H2D,Sync,No,7.35,2.00
v5_No_Sync,H2D,Batch,Yes,10.28,8.22
v5_No_Sync,H2D,Batch,No,10.25,7.99
v5_No_Sync,D2H,Sync,Yes,10.53,4.30
v5_No_Sync,D2H,Sync,No,7.50,2.01
v5_No_Sync,D2H,Batch,Yes,10.59,9.15
v5_No_Sync,D2H,Batch,No,10.55,8.85
v6_corrected_exact_fixes,D2D,Sync,Yes,188.63,6.92
v6_corrected_exact_fixes,D2D,Sync,No,188.57,7.14
v6_corrected_exact_fixes,D2D,Batch,Yes,208.14,41.18
v6_corrected_exact_fixes,D2D,Batch,No,208.17,41.56
v6_corrected_exact_fixes,H2D,Sync,Yes,10.22,4.14
v6_corrected_exact_fixes,H2D,Sync,No,7.84,2.12
v6_corrected_exact_fixes,H2D,Batch,Yes,10.28,8.19
v6_corrected_exact_fixes,H2D,Batch,No,10.24,8.02
v6_corrected_exact_fixes,D2H,Sync,Yes,10.53,4.28
v6_corrected_exact_fixes,D2H,Sync,No,7.98,2.19
