Backend,Operation,Mode,Pinned,Peak (GiB/s),Median (GiB/s),Min Latency (μs)
LEVEL_ZERO,D2D,Sync,Yes,188.51,6.27,38.18
LEVEL_ZERO,D2D,Sync,No,179.69,3.23,44.41
LEVEL_ZERO,D2D,Batch,Yes,208.28,41.22,5.19
LEVEL_ZERO,D2D,Batch,No,208.36,41.40,5.14
LEVEL_ZERO,H2D,Sync,Yes,10.22,4.12,34.84
LEVEL_ZERO,H2D,Sync,No,7.34,1.91,90.17
LEVEL_ZERO,H2D,Batch,Yes,10.27,8.20,4.27
LEVEL_ZERO,H2D,Batch,No,10.24,8.00,4.58
LEVEL_ZERO,D2H,Sync,Yes,10.53,4.29,34.10
LEVEL_ZERO,D2H,Sync,No,7.46,1.93,91.86
LEVEL_ZERO,D2H,Batch,Yes,10.58,9.14,3.45
LEVEL_ZERO,D2H,Batch,No,10.55,8.85,3.79
